"type","dep","i-dep","fan-in","fan-out"
"io.kubernetes.client.openapi.models.V2MetricTarget",27,2,5,10
"io.kubernetes.client.openapi.models.CoreV1EndpointPort",26,1,1,9
"io.kubernetes.client.openapi.models.V1alpha1ClusterCIDR",28,3,2,12
"io.kubernetes.client.openapi.models.V1alpha1IPAddress",28,3,2,12
"io.kubernetes.client.openapi.models.V1alpha1SelfSubjectReview",28,3,1,12
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyBinding",28,3,2,12
"io.kubernetes.client.openapi.models.V1beta1SelfSubjectReview",28,3,1,12
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyBinding",28,3,2,12
"io.kubernetes.client.openapi.models.V1Eviction",28,3,1,12
"io.kubernetes.client.openapi.models.V1IngressClass",28,3,2,12
"io.kubernetes.client.openapi.models.V1Lease",28,3,2,12
"io.kubernetes.client.openapi.models.V1LimitRange",28,3,2,12
"io.kubernetes.client.openapi.models.V1NetworkPolicy",28,3,2,12
"io.kubernetes.client.openapi.models.V1PodDisruptionBudgetSpec",28,3,1,11
"io.kubernetes.client.openapi.models.V1PodTemplate",28,3,2,12
"io.kubernetes.client.openapi.models.V1SelfSubjectReview",28,3,1,12
"io.kubernetes.client.openapi.models.V1ReplicationControllerSpec",27,2,1,11
"io.kubernetes.client.openapi.models.V1alpha1ParamRef",27,2,1,10
"io.kubernetes.client.openapi.models.V1beta1ParamRef",27,2,1,10
"io.kubernetes.client.openapi.models.V1NodeConfigStatus",27,2,1,10
"io.kubernetes.client.openapi.models.V1AWSElasticBlockStoreVolumeSource",26,1,2,9
"io.kubernetes.client.openapi.models.V1BoundObjectReference",26,1,1,9
"io.kubernetes.client.openapi.models.V1GCEPersistentDiskVolumeSource",26,1,2,9
"io.kubernetes.client.openapi.models.V1ReplicaSetSpec",28,3,1,11
"io.kubernetes.client.openapi.models.V1SELinuxOptions",26,1,2,9
"io.kubernetes.client.openapi.models.V1SubjectAccessReviewStatus",26,1,3,9
"io.kubernetes.client.openapi.models.V1APIGroupList",28,2,1,10
"io.kubernetes.client.openapi.models.V1PersistentVolumeStatus",27,1,1,9
"io.kubernetes.client.openapi.models.V1IngressLoadBalancerIngress",28,2,1,10
"io.kubernetes.client.openapi.models.V1LoadBalancerIngress",28,2,1,10
"io.kubernetes.client.openapi.models.V1PodFailurePolicyOnExitCodesRequirement",27,1,1,10
"io.kubernetes.client.openapi.models.DiscoveryV1EndpointPort",26,1,1,9
"io.kubernetes.client.openapi.models.V1HorizontalPodAutoscalerSpec",27,2,1,10
"io.kubernetes.client.openapi.models.V1WindowsSecurityContextOptions",26,1,2,9
"io.kubernetes.client.openapi.models.V1ResourceQuotaSpec",29,3,1,12
"io.kubernetes.client.openapi.models.V1ListMeta",26,1,69,9
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyStatus",29,3,1,11
"io.kubernetes.client.openapi.models.V1alpha2AllocationResult",29,3,1,11
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyStatus",29,3,1,11
"io.kubernetes.client.openapi.models.V1LabelSelectorRequirement",27,1,1,10
"io.kubernetes.client.openapi.models.V1NodeSelectorRequirement",27,1,1,10
"io.kubernetes.client.openapi.models.V1ScopedResourceSelectorRequirement",27,1,1,10
"io.kubernetes.client.openapi.models.V1ConfigMapProjection",28,2,1,10
"io.kubernetes.client.openapi.models.V1SecretProjection",28,2,1,10
"io.kubernetes.client.openapi.models.V1TokenRequestSpec",28,2,1,11
"io.kubernetes.client.openapi.models.V2HPAScalingRules",28,2,1,10
"io.kubernetes.client.openapi.models.V1NetworkPolicyEgressRule",29,3,1,11
"io.kubernetes.client.openapi.models.V1NetworkPolicyIngressRule",29,3,1,11
"io.kubernetes.client.openapi.models.V1PodAffinity",29,3,1,11
"io.kubernetes.client.openapi.models.V1PodAntiAffinity",29,3,1,11
"io.kubernetes.client.openapi.models.V1CronJobStatus",29,2,1,10
"io.kubernetes.client.openapi.models.V1NodeSelectorTerm",28,2,2,10
"io.kubernetes.client.openapi.models.V1beta2LimitedPriorityLevelConfiguration",27,2,1,10
"io.kubernetes.client.openapi.models.V1beta3LimitedPriorityLevelConfiguration",27,2,1,10
"io.kubernetes.client.openapi.models.V1beta2PriorityLevelConfigurationSpec",28,3,1,11
"io.kubernetes.client.openapi.models.V1beta3PriorityLevelConfigurationSpec",28,3,1,11
"io.kubernetes.client.openapi.models.V1RoleRef",26,1,2,9
"io.kubernetes.client.openapi.apis.LogsApi",16,8,0,11
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimParametersReference",26,1,1,9
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimSpec",27,2,2,10
"io.kubernetes.client.openapi.models.V1CrossVersionObjectReference",26,1,1,9
"io.kubernetes.client.openapi.models.V1CustomResourceSubresourceScale",26,1,1,9
"io.kubernetes.client.openapi.models.V1EnvVar",27,2,2,10
"io.kubernetes.client.openapi.models.V1ResourceFieldSelector",27,2,2,10
"io.kubernetes.client.openapi.models.V1TypedLocalObjectReference",26,1,2,9
"io.kubernetes.client.openapi.models.V1VolumeAttachmentSpec",27,2,1,10
"io.kubernetes.client.openapi.models.V2ContainerResourceMetricSource",27,2,1,10
"io.kubernetes.client.openapi.models.V2ContainerResourceMetricStatus",27,2,1,10
"io.kubernetes.client.openapi.models.V2CrossVersionObjectReference",26,1,3,9
"io.kubernetes.client.openapi.models.V1beta2NonResourcePolicyRule",27,1,1,10
"io.kubernetes.client.openapi.models.V1beta3NonResourcePolicyRule",27,1,1,10
"io.kubernetes.client.openapi.models.V1GitRepoVolumeSource",26,1,1,9
"io.kubernetes.client.openapi.models.V1HTTPIngressPath",27,2,1,10
"io.kubernetes.client.openapi.models.V2ObjectMetricSource",29,4,1,12
"io.kubernetes.client.openapi.models.V2ObjectMetricStatus",29,4,1,12
"io.kubernetes.client.openapi.models.V1AzureFileVolumeSource",26,1,1,9
"io.kubernetes.client.openapi.models.V1GlusterfsVolumeSource",26,1,1,9
"io.kubernetes.client.openapi.models.V1IngressPortStatus",26,1,1,9
"io.kubernetes.client.openapi.models.V1KeyToPath",26,1,4,9
"io.kubernetes.client.openapi.models.V1NFSVolumeSource",26,1,2,9
"io.kubernetes.client.openapi.models.V1PortStatus",26,1,1,9
"io.kubernetes.client.openapi.models.V1LabelSelector",28,2,20,11
"io.kubernetes.client.openapi.models.V1NonResourceRule",27,1,1,10
"io.kubernetes.client.openapi.models.V1Scheduling",28,2,1,11
"io.kubernetes.client.openapi.models.V1Affinity",29,4,1,12
"io.kubernetes.client.openapi.models.V1ConfigMapKeySelector",26,1,1,9
"io.kubernetes.client.openapi.models.V1ContainerState",29,4,1,12
"io.kubernetes.client.openapi.models.V1LifecycleHandler",29,4,1,12
"io.kubernetes.client.openapi.models.V1PortworxVolumeSource",26,1,2,9
"io.kubernetes.client.openapi.models.V1SecretKeySelector",26,1,1,9
"io.kubernetes.client.openapi.models.V1ServiceAccountTokenProjection",26,1,1,9
"io.kubernetes.client.openapi.models.V1EnvFromSource",28,3,2,11
"io.kubernetes.client.openapi.models.V1NetworkPolicyPeer",28,3,2,11
"io.kubernetes.client.openapi.models.V2HPAScalingPolicy",26,1,1,9
"io.kubernetes.client.openapi.models.V1StatusCause",26,1,1,9
"io.kubernetes.client.openapi.models.V1NodeAffinity",29,3,1,11
"io.kubernetes.client.openapi.models.V1ServiceStatus",29,3,1,11
"io.kubernetes.client.openapi.models.AdmissionregistrationV1WebhookClientConfig",27,2,2,10
"io.kubernetes.client.openapi.models.ApiextensionsV1WebhookClientConfig",27,2,1,10
"io.kubernetes.client.openapi.models.V1NetworkPolicyPort",27,2,2,10
"io.kubernetes.client.openapi.models.V2MetricValueStatus",27,2,5,10
"io.kubernetes.client.openapi.models.V1NamespaceStatus",28,2,1,10
"io.kubernetes.client.openapi.models.V1TopologySelectorLabelRequirement",27,1,1,10
"io.kubernetes.client.openapi.models.V1WebhookConversion",28,2,1,11
"io.kubernetes.client.openapi.models.ApiregistrationV1ServiceReference",26,1,1,9
"io.kubernetes.client.openapi.models.V1Capabilities",27,1,1,10
"io.kubernetes.client.openapi.models.V1UncountedTerminatedPods",27,1,1,10
"io.kubernetes.client.openapi.models.V1CertificateSigningRequestStatus",28,2,1,10
"io.kubernetes.client.openapi.models.V1DownwardAPIVolumeSource",28,2,1,10
"io.kubernetes.client.openapi.models.V1IPBlock",27,1,1,10
"io.kubernetes.client.openapi.models.V1ProjectedVolumeSource",28,2,1,10
"io.kubernetes.client.openapi.models.V1beta2QueuingConfiguration",26,1,1,9
"io.kubernetes.client.openapi.models.V1beta3QueuingConfiguration",26,1,1,9
"io.kubernetes.client.openapi.models.V1EndpointConditions",26,1,1,9
"io.kubernetes.client.openapi.models.V1ResourceQuotaStatus",27,2,1,10
"io.kubernetes.client.openapi.models.V1alpha2PodSchedulingContextSpec",27,1,1,10
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimSchedulingStatus",27,1,1,10
"io.kubernetes.client.openapi.models.V1HostAlias",27,1,1,10
"io.kubernetes.client.openapi.models.V1IngressTLS",27,1,1,10
"io.kubernetes.client.openapi.models.V1TokenReviewSpec",27,1,1,10
"io.kubernetes.client.openapi.models.V1alpha1AuditAnnotation",26,1,1,9
"io.kubernetes.client.openapi.models.V1alpha1ExpressionWarning",26,1,1,9
"io.kubernetes.client.openapi.models.V1alpha1MatchCondition",26,1,1,9
"io.kubernetes.client.openapi.models.V1alpha1Variable",26,1,1,9
"io.kubernetes.client.openapi.models.V1AttachedVolume",26,1,1,9
"io.kubernetes.client.openapi.models.V1beta1AuditAnnotation",26,1,1,9
"io.kubernetes.client.openapi.models.V1beta1ExpressionWarning",26,1,1,9
"io.kubernetes.client.openapi.models.V1beta1MatchCondition",26,1,1,9
"io.kubernetes.client.openapi.models.V1beta1Variable",26,1,1,9
"io.kubernetes.client.openapi.models.V1beta2LimitResponse",27,2,1,10
"io.kubernetes.client.openapi.models.V1beta2ServiceAccountSubject",26,1,1,9
"io.kubernetes.client.openapi.models.V1beta3LimitResponse",27,2,1,10
"io.kubernetes.client.openapi.models.V1beta3ServiceAccountSubject",26,1,1,9
"io.kubernetes.client.openapi.models.V1ContainerResizePolicy",26,1,2,9
"io.kubernetes.client.openapi.models.V1CustomResourceConversion",27,2,1,10
"io.kubernetes.client.openapi.models.V1GroupVersionForDiscovery",26,1,1,9
"io.kubernetes.client.openapi.models.V1HTTPHeader",26,1,1,9
"io.kubernetes.client.openapi.models.V1IngressServiceBackend",27,2,1,10
"io.kubernetes.client.openapi.models.V1MatchCondition",26,1,2,9
"io.kubernetes.client.openapi.models.V1NodeAddress",26,1,1,9
"io.kubernetes.client.openapi.models.V1PodFailurePolicyOnPodConditionsPattern",26,1,1,9
"io.kubernetes.client.openapi.models.V1PodResourceClaim",27,2,1,10
"io.kubernetes.client.openapi.models.V1ServerAddressByClientCIDR",26,1,2,9
"io.kubernetes.client.openapi.models.V1Sysctl",26,1,1,9
"io.kubernetes.client.openapi.models.V1TCPSocketAction",27,2,2,10
"io.kubernetes.client.openapi.models.V1VolumeDevice",26,1,2,9
"io.kubernetes.client.openapi.models.V2MetricIdentifier",27,2,6,10
"io.kubernetes.client.openapi.models.V1ContainerImage",27,1,1,10
"io.kubernetes.client.openapi.models.V1alpha1ClusterTrustBundleSpec",26,1,1,9
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimTemplateSpec",28,3,1,11
"io.kubernetes.client.openapi.models.V1HostPathVolumeSource",26,1,2,9
"io.kubernetes.client.openapi.models.V1LocalVolumeSource",26,1,1,9
"io.kubernetes.client.openapi.models.V1ObjectFieldSelector",26,1,2,9
"io.kubernetes.client.openapi.models.V1PersistentVolumeClaimTemplate",28,3,1,11
"io.kubernetes.client.openapi.models.V1PhotonPersistentDiskVolumeSource",26,1,2,9
"io.kubernetes.client.openapi.models.V1PodResourceClaimStatus",26,1,1,9
"io.kubernetes.client.openapi.models.V1SeccompProfile",26,1,2,9
"io.kubernetes.client.openapi.models.V2ResourceMetricSource",27,2,1,10
"io.kubernetes.client.openapi.models.V2ResourceMetricStatus",27,2,1,10
"io.kubernetes.client.openapi.models.V1TokenRequestStatus",27,1,1,9
"io.kubernetes.client.openapi.models.V2ExternalMetricSource",28,3,1,11
"io.kubernetes.client.openapi.models.V2ExternalMetricStatus",28,3,1,11
"io.kubernetes.client.openapi.models.V2PodsMetricSource",28,3,1,11
"io.kubernetes.client.openapi.models.V2PodsMetricStatus",28,3,1,11
"io.kubernetes.client.openapi.models.V1WatchEvent",26,1,0,9
"io.kubernetes.client.openapi.models.StorageV1TokenRequest",26,1,1,9
"io.kubernetes.client.openapi.models.V1GRPCAction",26,1,1,9
"io.kubernetes.client.openapi.models.V1PersistentVolumeClaimVolumeSource",26,1,1,9
"io.kubernetes.client.openapi.models.V1PreferredSchedulingTerm",27,2,1,10
"io.kubernetes.client.openapi.models.V1ScaleStatus",26,1,1,9
"io.kubernetes.client.openapi.models.V1WeightedPodAffinityTerm",27,2,2,10
"io.kubernetes.client.openapi.models.EventsV1EventSeries",27,1,1,9
"io.kubernetes.client.openapi.models.V1IngressBackend",28,3,2,11
"io.kubernetes.client.openapi.models.V1JobTemplateSpec",28,3,1,11
"io.kubernetes.client.openapi.models.V1PodTemplateSpec",28,3,7,11
"io.kubernetes.client.openapi.models.V1SelfSubjectAccessReviewSpec",28,3,1,11
"io.kubernetes.client.openapi.models.V1DaemonSetUpdateStrategy",27,2,1,10
"io.kubernetes.client.openapi.models.V1DeploymentStrategy",27,2,1,10
"io.kubernetes.client.openapi.models.V1EmptyDirVolumeSource",27,2,1,10
"io.kubernetes.client.openapi.models.V1IngressClassSpec",27,2,1,10
"io.kubernetes.client.openapi.models.V1IngressRule",27,2,1,10
"io.kubernetes.client.openapi.models.V1Lifecycle",27,2,2,10
"io.kubernetes.client.openapi.models.V1RollingUpdateDaemonSet",27,2,1,10
"io.kubernetes.client.openapi.models.V1RollingUpdateDeployment",27,2,1,10
"io.kubernetes.client.openapi.models.V1StatefulSetUpdateStrategy",27,2,1,10
"io.kubernetes.client.openapi.models.V1VolumeAttachmentSource",27,2,1,10
"io.kubernetes.client.openapi.models.V2HorizontalPodAutoscalerBehavior",27,2,1,10
"io.kubernetes.client.openapi.models.V1alpha1ParamKind",26,1,1,9
"io.kubernetes.client.openapi.models.V1alpha2ResourceHandle",26,1,1,9
"io.kubernetes.client.openapi.models.V1beta1ParamKind",26,1,1,9
"io.kubernetes.client.openapi.models.V1ClaimSource",26,1,1,9
"io.kubernetes.client.openapi.models.V1ContainerStateWaiting",26,1,1,9
"io.kubernetes.client.openapi.models.V1EventSource",26,1,2,9
"io.kubernetes.client.openapi.models.V1ExternalDocumentation",26,1,1,9
"io.kubernetes.client.openapi.models.V1FlockerVolumeSource",26,1,2,9
"io.kubernetes.client.openapi.models.V1NonResourceAttributes",26,1,2,9
"io.kubernetes.client.openapi.models.V1PodDNSConfigOption",26,1,1,9
"io.kubernetes.client.openapi.models.V1Preconditions",26,1,1,9
"io.kubernetes.client.openapi.models.V1SecretReference",26,1,7,9
"io.kubernetes.client.openapi.models.V1StatefulSetPersistentVolumeClaimRetentionPolicy",26,1,1,9
"io.kubernetes.client.openapi.models.V1CSINodeSpec",28,2,1,10
"io.kubernetes.client.openapi.models.V1HTTPIngressRuleValue",28,2,1,10
"io.kubernetes.client.openapi.models.V1LimitRangeSpec",28,2,1,10
"io.kubernetes.client.openapi.models.V1NodeSelector",28,2,5,10
"io.kubernetes.client.openapi.models.V1PodFailurePolicy",28,2,1,10
"io.kubernetes.client.openapi.models.V1CustomResourceSubresources",27,2,1,10
"io.kubernetes.client.openapi.models.V1RollingUpdateStatefulSetStrategy",27,2,1,10
"io.kubernetes.client.openapi.models.V1VolumeError",27,1,1,9
"io.kubernetes.client.openapi.models.V1AggregationRule",28,2,1,10
"io.kubernetes.client.openapi.models.V1alpha1TypeChecking",28,2,1,10
"io.kubernetes.client.openapi.models.V1alpha2PodSchedulingContextStatus",28,2,1,10
"io.kubernetes.client.openapi.models.V1APIServiceStatus",28,2,1,10
"io.kubernetes.client.openapi.models.V1beta1TypeChecking",28,2,1,10
"io.kubernetes.client.openapi.models.V1beta2FlowSchemaStatus",28,2,1,10
"io.kubernetes.client.openapi.models.V1beta2PriorityLevelConfigurationStatus",28,2,1,10
"io.kubernetes.client.openapi.models.V1beta3FlowSchemaStatus",28,2,1,10
"io.kubernetes.client.openapi.models.V1beta3PriorityLevelConfigurationStatus",28,2,1,10
"io.kubernetes.client.openapi.models.V1DownwardAPIProjection",28,2,1,10
"io.kubernetes.client.openapi.models.V1EndpointHints",28,2,1,10
"io.kubernetes.client.openapi.models.V1IngressLoadBalancerStatus",28,2,1,10
"io.kubernetes.client.openapi.models.V1LoadBalancerStatus",28,2,1,10
"io.kubernetes.client.openapi.models.V1ScopeSelector",28,2,1,10
"io.kubernetes.client.openapi.models.V1TopologySelectorTerm",28,2,1,10
"io.kubernetes.client.custom.QuantityFormatterTest",4,0,0,2
"io.kubernetes.client.openapi.models.V1ConfigMapEnvSource",26,1,1,9
"io.kubernetes.client.openapi.models.V1SecretEnvSource",26,1,1,9
"io.kubernetes.client.openapi.models.V1ServiceBackendPort",26,1,1,9
"io.kubernetes.client.openapi.models.CoreV1EventSeries",27,1,1,9
"io.kubernetes.client.openapi.models.V1beta2ExemptPriorityLevelConfiguration",26,1,1,9
"io.kubernetes.client.openapi.models.V1beta3ExemptPriorityLevelConfiguration",26,1,1,9
"io.kubernetes.client.openapi.models.V1ExecAction",27,1,2,10
"io.kubernetes.client.openapi.models.V1NamespaceSpec",27,1,1,10
"io.kubernetes.client.openapi.models.V1Overhead",27,2,1,10
"io.kubernetes.client.openapi.models.V1beta2FlowDistinguisherMethod",26,1,1,9
"io.kubernetes.client.openapi.models.V1beta2GroupSubject",26,1,1,9
"io.kubernetes.client.openapi.models.V1beta2PriorityLevelConfigurationReference",26,1,1,9
"io.kubernetes.client.openapi.models.V1beta2UserSubject",26,1,1,9
"io.kubernetes.client.openapi.models.V1beta3FlowDistinguisherMethod",26,1,1,9
"io.kubernetes.client.openapi.models.V1beta3GroupSubject",26,1,1,9
"io.kubernetes.client.openapi.models.V1beta3PriorityLevelConfigurationReference",26,1,1,9
"io.kubernetes.client.openapi.models.V1beta3UserSubject",26,1,1,9
"io.kubernetes.client.openapi.models.V1ForZone",26,1,1,9
"io.kubernetes.client.openapi.models.V1PodOS",26,1,1,9
"io.kubernetes.client.openapi.models.V1PodReadinessGate",26,1,1,9
"io.kubernetes.client.openapi.models.V1PodSchedulingGate",26,1,1,9
"io.kubernetes.client.openapi.models.V1ResourceClaim",26,1,1,9
"io.kubernetes.client.openapi.models.V1DaemonEndpoint",26,1,1,9
"io.kubernetes.client.openapi.models.V1alpha1IPAddressSpec",27,2,1,10
"io.kubernetes.client.openapi.models.V1alpha1SelfSubjectReviewStatus",27,2,1,10
"io.kubernetes.client.openapi.models.V1beta1SelfSubjectReviewStatus",27,2,1,10
"io.kubernetes.client.openapi.models.V1CustomResourceValidation",27,2,1,10
"io.kubernetes.client.openapi.models.V1EphemeralVolumeSource",27,2,1,10
"io.kubernetes.client.openapi.models.V1IngressStatus",27,2,1,10
"io.kubernetes.client.openapi.models.V1NodeConfigSource",27,2,2,10
"io.kubernetes.client.openapi.models.V1NodeDaemonEndpoints",27,2,1,10
"io.kubernetes.client.openapi.models.V1SelfSubjectReviewStatus",27,2,1,10
"io.kubernetes.client.openapi.models.V1SessionAffinityConfig",27,2,1,10
"io.kubernetes.client.openapi.models.V1VolumeNodeAffinity",27,2,1,10
"io.kubernetes.client.openapi.models.V1HostIP",26,1,1,9
"io.kubernetes.client.openapi.models.V1LocalObjectReference",26,1,10,9
"io.kubernetes.client.openapi.models.V1PodIP",26,1,1,9
"io.kubernetes.client.openapi.models.V1SelfSubjectRulesReviewSpec",26,1,1,9
"io.kubernetes.client.openapi.models.V1ContainerStateRunning",27,1,1,9
"io.kubernetes.client.openapi.models.V1ClientIPConfig",26,1,1,9
"io.kubernetes.client.openapi.models.V1ScaleSpec",26,1,1,9
"io.kubernetes.client.openapi.models.V1StatefulSetOrdinals",26,1,1,9
"io.kubernetes.client.openapi.models.V1VolumeNodeResources",26,1,1,9
"io.kubernetes.client.openapi.apis.AdmissionregistrationApi",17,9,0,11
"io.kubernetes.client.openapi.apis.ApiextensionsApi",17,9,0,11
"io.kubernetes.client.openapi.apis.ApiregistrationApi",17,9,0,11
"io.kubernetes.client.openapi.apis.ApisApi",17,9,0,11
"io.kubernetes.client.openapi.apis.AppsApi",17,9,0,11
"io.kubernetes.client.openapi.apis.AuthenticationApi",17,9,0,11
"io.kubernetes.client.openapi.apis.AuthorizationApi",17,9,0,11
"io.kubernetes.client.openapi.apis.AutoscalingApi",17,9,0,11
"io.kubernetes.client.openapi.apis.BatchApi",17,9,0,11
"io.kubernetes.client.openapi.apis.CertificatesApi",17,9,0,11
"io.kubernetes.client.openapi.apis.CoordinationApi",17,9,0,11
"io.kubernetes.client.openapi.apis.CoreApi",17,9,0,11
"io.kubernetes.client.openapi.apis.DiscoveryApi",17,9,0,11
"io.kubernetes.client.openapi.apis.EventsApi",17,9,0,11
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverApi",17,9,0,11
"io.kubernetes.client.openapi.apis.InternalApiserverApi",17,9,0,11
"io.kubernetes.client.openapi.apis.NetworkingApi",17,9,0,11
"io.kubernetes.client.openapi.apis.NodeApi",17,9,0,11
"io.kubernetes.client.openapi.apis.PolicyApi",17,9,0,11
"io.kubernetes.client.openapi.apis.RbacAuthorizationApi",17,9,0,11
"io.kubernetes.client.openapi.apis.ResourceApi",17,9,0,11
"io.kubernetes.client.openapi.apis.SchedulingApi",17,9,0,11
"io.kubernetes.client.openapi.apis.StorageApi",17,9,0,11
"io.kubernetes.client.openapi.apis.VersionApi",17,9,0,11
"io.kubernetes.client.openapi.apis.OpenidApi",16,8,0,10
"io.kubernetes.client.openapi.apis.WellKnownApi",16,8,0,10
"io.kubernetes.client.custom.SuffixFormatterTest",3,0,0,0
"io.kubernetes.client.custom.SuffixFormatter",2,0,16,5
"io.kubernetes.client.custom.IntOrStringTest",5,0,0,0
"io.kubernetes.client.custom.QuantityFormatter",4,0,20,2
"io.kubernetes.client.custom.IntOrString",8,0,30,3
"io.kubernetes.client.openapi.models.AbstractOpenApiSchema",5,1,0,6
"io.kubernetes.client.custom.Quantity",8,0,28,3
"io.kubernetes.client.openapi.JSONTest",11,2,0,3
"io.kubernetes.client.openapi.GzipRequestInterceptor",6,0,0,2
"io.kubernetes.client.openapi.ApiException",3,0,75,4
"io.kubernetes.client.openapi.auth.ApiKeyAuth",5,2,1,5
"io.kubernetes.client.custom.NodeMetrics",4,2,0,3
"io.kubernetes.client.custom.PodMetrics",3,2,0,3
"io.kubernetes.client.openapi.ProgressRequestBody",8,0,59,2
"io.kubernetes.client.openapi.ProgressResponseBody",8,0,59,2
"io.kubernetes.client.openapi.StringUtil",2,0,0,4
"io.kubernetes.client.custom.IOTrio",5,0,0,2
"io.kubernetes.client.custom.NodeMetricsList",4,2,0,3
"io.kubernetes.client.custom.BaseExponent",0,0,20,3
"io.kubernetes.client.custom.PodMetricsList",3,2,0,3
"io.kubernetes.client.openapi.Pair",0,0,65,1
"io.kubernetes.client.openapi.auth.HttpBasicAuth",7,2,1,4
"io.kubernetes.client.gson.V1StatusJsonDeserializerTest",5,1,0,1
"io.kubernetes.client.openapi.auth.HttpBearerAuth",5,2,1,6
"io.kubernetes.client.custom.V1Patch",5,0,26,2
"io.kubernetes.client.openapi.ServerConfiguration",1,0,1,3
"io.kubernetes.client.gson.V1StatusPreProcessor",5,1,2,4
"io.kubernetes.client.custom.MapUtilsTest",4,0,0,2
"io.kubernetes.client.openapi.ApiResponse",2,0,59,0
"io.kubernetes.client.custom.IntOrStringJacksonSerializer",4,0,0,1
"io.kubernetes.client.custom.MapUtils",2,0,1,1
"io.kubernetes.client.openapi.V1SecretTest",4,1,0,3
"io.kubernetes.client.custom.ContainerMetrics",1,0,0,0
"io.kubernetes.client.openapi.Configuration",0,0,58,0
"io.kubernetes.client.openapi.ServerVariable",1,0,0,0
"io.kubernetes.client.openapi.ApiCallback",3,0,58,0
"io.kubernetes.client.openapi.auth.Authentication",5,2,4,2
"io.kubernetes.client.common.KubernetesListObject",2,1,66,2
"io.kubernetes.client.custom.QuantityFormatException",0,0,4,1
"io.kubernetes.client.common.KubernetesType",0,0,2,0
"io.kubernetes.client.common.KubernetesObject",1,1,78,2
