"type","smell","quality"
"io.kubernetes.client.openapi.models.V1CronJobList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CronJobStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CronJobStatus","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CrossVersionObjectReference","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CrossVersionObjectReference","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CSIDriverList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CSIDriverList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CSINodeDriver","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CSINodeDriver","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CSINodeList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CSINodeList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CSIStorageCapacityList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CSIStorageCapacityList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CustomResourceDefinitionList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CustomResourceDefinitionList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CustomResourceDefinitionStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CustomResourceDefinitionStatus","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CustomResourceSubresourceScale","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CustomResourceSubresourceScale","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1DaemonSetList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1DaemonSetList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1DeploymentList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1DeploymentList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1Endpoint","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1Endpoint","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1EndpointConditions","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1EndpointConditions","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1Endpoints","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1Endpoints","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1EndpointSliceList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1EndpointSliceList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1EndpointsList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1EndpointsList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1EndpointSubset","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1EndpointSubset","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1EnvFromSource","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1EnvFromSource","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1EnvVar","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1EnvVar","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1EphemeralContainer","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1EphemeralContainer","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1GitRepoVolumeSource","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1GitRepoVolumeSource","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1GlusterfsVolumeSource","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1GlusterfsVolumeSource","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1HorizontalPodAutoscalerList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1HorizontalPodAutoscalerList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1HTTPIngressPath","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1HTTPIngressPath","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1IngressClassList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1IngressClassList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1IngressList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1IngressList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1IngressLoadBalancerIngress","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1IngressLoadBalancerIngress","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1IngressPortStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1IngressPortStatus","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1IngressSpec","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1IngressSpec","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1JobList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1JobList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1JSONSchemaProps","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1JSONSchemaProps","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1KeyToPath","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1KeyToPath","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1LabelSelectorRequirement","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1LabelSelectorRequirement","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1LeaseList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1LeaseList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1LifecycleHandler","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1LifecycleHandler","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1LimitRangeItem","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1LimitRangeItem","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1LimitRangeList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1LimitRangeList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1LoadBalancerIngress","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1LoadBalancerIngress","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1MutatingWebhookConfiguration","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1MutatingWebhookConfiguration","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1MutatingWebhookConfigurationList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1MutatingWebhookConfigurationList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1NamespaceList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1NamespaceList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1NetworkPolicyList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1NetworkPolicyList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1NetworkPolicyPeer","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1NetworkPolicyPeer","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1NetworkPolicyPort","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1NetworkPolicyPort","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1NetworkPolicySpec","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1NetworkPolicySpec","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1NFSVolumeSource","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1NFSVolumeSource","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1NodeList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1NodeList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1NodeSelectorRequirement","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1NodeSelectorRequirement","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1PersistentVolumeClaimList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PersistentVolumeClaimList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1PersistentVolumeClaimStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PersistentVolumeClaimStatus","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1PersistentVolumeList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PersistentVolumeList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1PersistentVolumeSpec","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1PersistentVolumeSpec","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PodAffinityTerm","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PodAffinityTerm","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1PodDisruptionBudgetList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PodDisruptionBudgetList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1PodDNSConfig","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PodDNSConfig","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1PodFailurePolicyOnExitCodesRequirement","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PodFailurePolicyOnExitCodesRequirement","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1PodFailurePolicyRule","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PodFailurePolicyRule","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1PodList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PodList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1PodSpec","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1PodSpec","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PodStatus","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1PodStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PodTemplateList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PodTemplateList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1PolicyRule","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PolicyRule","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1PortStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PortStatus","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1PortworxVolumeSource","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PortworxVolumeSource","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1PriorityClassList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PriorityClassList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ReplicaSetList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ReplicaSetList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ReplicationControllerList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ReplicationControllerList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ReplicationControllerSpec","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ReplicationControllerSpec","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ResourceFieldSelector","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ResourceFieldSelector","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ResourceQuotaList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ResourceQuotaList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ResourceQuotaSpec","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ResourceQuotaSpec","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ResourceRequirements","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ResourceRequirements","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ResourceRule","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ResourceRule","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1Role","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1Role","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1RoleBindingList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1RoleBindingList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1RoleList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1RoleList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1RoleRef","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1RoleRef","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1RuleWithOperations","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1RuleWithOperations","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1RuntimeClassList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1RuntimeClassList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ScopedResourceSelectorRequirement","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ScopedResourceSelectorRequirement","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1SecretKeySelector","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1SecretKeySelector","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1SecretList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1SecretList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1SecretProjection","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1SecretProjection","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1SecretVolumeSource","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1SecretVolumeSource","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ServiceAccountList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ServiceAccountList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ServiceAccountTokenProjection","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ServiceAccountTokenProjection","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ServiceList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ServiceList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ServiceSpec","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1ServiceSpec","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1StatefulSetList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1StatefulSetList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1Status","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1Status","Cyclically-dependent Modularization","Modularity"
"io.kubernetes.client.openapi.models.V1StatusCause","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1StatusCause","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1StorageClassList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1StorageClassList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1SubjectAccessReviewSpec","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1SubjectAccessReviewSpec","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1SubjectRulesReviewStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1SubjectRulesReviewStatus","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1TokenRequestSpec","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1TokenRequestSpec","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1TokenReviewStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1TokenReviewStatus","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1TypedLocalObjectReference","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1TypedLocalObjectReference","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1UserInfo","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1UserInfo","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ValidatingWebhookConfiguration","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ValidatingWebhookConfiguration","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ValidatingWebhookConfigurationList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ValidatingWebhookConfigurationList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1Volume","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1Volume","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1VolumeAttachmentList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1VolumeAttachmentList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1VolumeAttachmentSpec","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1VolumeAttachmentSpec","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1VolumeAttachmentStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1VolumeAttachmentStatus","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V2ContainerResourceMetricSource","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V2ContainerResourceMetricSource","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V2ContainerResourceMetricStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V2ContainerResourceMetricStatus","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V2CrossVersionObjectReference","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V2CrossVersionObjectReference","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V2HorizontalPodAutoscalerList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V2HorizontalPodAutoscalerList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V2HPAScalingPolicy","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V2HPAScalingPolicy","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V2HPAScalingRules","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V2HPAScalingRules","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V2MetricValueStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V2MetricValueStatus","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V2ObjectMetricSource","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V2ObjectMetricSource","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V2ObjectMetricStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V2ObjectMetricStatus","Multifaceted Abstraction","Cohesion"
